anio,edad,sexo,cantidad_personas,condicion_asist_escolar
2001,19.0,m,15065,Asiste
2001,19.0,m,114,Nunca asistió
2001,19.0,m,6090,No asiste pero asistió
2001,19.0,m,-,Ignorado
2001,19.0,v,13273,Asiste
2001,19.0,v,109,Nunca asistió
2001,19.0,v,6471,No asiste pero asistió
2001,19.0,v,-,Ignorado
2001,20.0,m,14287,Asiste
2001,20.0,m,182,Nunca asistió
2001,20.0,m,7661,No asiste pero asistió
2001,20.0,m,-,Ignorado
2001,20.0,v,12552,Asiste
2001,20.0,v,137,Nunca asistió
2001,20.0,v,8458,No asiste pero asistió
2001,20.0,v,-,Ignorado
2001,21.0,m,14390,Asiste
2001,21.0,m,200,Nunca asistió
2001,21.0,m,9634,No asiste pero asistió
2001,21.0,m,-,Ignorado
2001,21.0,v,12503,Asiste
2001,21.0,v,152,Nunca asistió
2001,21.0,v,10219,No asiste pero asistió
2001,21.0,v,-,Ignorado
2001,22.0,m,13028,Asiste
2001,22.0,m,216,Nunca asistió
2001,22.0,m,10871,No asiste pero asistió
2001,22.0,m,-,Ignorado
2001,22.0,v,11558,Asiste
2001,22.0,v,205,Nunca asistió
2001,22.0,v,11017,No asiste pero asistió
2001,22.0,v,-,Ignorado
2001,23.0,m,12081,Asiste
2001,23.0,m,230,Nunca asistió
2001,23.0,m,12593,No asiste pero asistió
2001,23.0,m,-,Ignorado
2001,23.0,v,10636,Asiste
2001,23.0,v,236,Nunca asistió
2001,23.0,v,12502,No asiste pero asistió
2001,23.0,v,-,Ignorado
2001,24.0,m,10584,Asiste
2001,24.0,m,264,Nunca asistió
2001,24.0,m,14415,No asiste pero asistió
2001,24.0,m,-,Ignorado
2001,24.0,v,9487,Asiste
2001,24.0,v,243,Nunca asistió
2001,24.0,v,13755,No asiste pero asistió
2001,24.0,v,-,Ignorado
2010,3.0,m,11786,Asiste
2010,3.0,m,3535,Nunca asistió
2010,3.0,m,174,No asiste pero asistió
2010,3.0,m,-,Ignorado
2010,3.0,v,12158,Asiste
2010,3.0,v,3727,Nunca asistió
2010,3.0,v,192,No asiste pero asistió
2010,3.0,v,-,Ignorado
2010,4.0,m,14360,Asiste
2010,4.0,m,1218,Nunca asistió
2010,4.0,m,165,No asiste pero asistió
2010,4.0,m,-,Ignorado
2010,4.0,v,14648,Asiste
2010,4.0,v,1334,Nunca asistió
2010,4.0,v,151,No asiste pero asistió
2010,4.0,v,-,Ignorado
2010,5.0,m,15426,Asiste
2010,5.0,m,254,Nunca asistió
2010,5.0,m,282,No asiste pero asistió
2010,5.0,m,-,Ignorado
2010,5.0,v,15854,Asiste
2010,5.0,v,256,Nunca asistió
2010,5.0,v,266,No asiste pero asistió
2010,5.0,v,-,Ignorado
2010,6.0,m,15577,Asiste
2010,6.0,m,90,Nunca asistió
2010,6.0,m,118,No asiste pero asistió
2010,6.0,m,-,Ignorado
2010,6.0,v,15949,Asiste
2010,6.0,v,79,Nunca asistió
2010,6.0,v,129,No asiste pero asistió
2010,6.0,v,-,Ignorado
2010,7.0,m,15043,Asiste
2010,7.0,m,47,Nunca asistió
2010,7.0,m,59,No asiste pero asistió
2010,7.0,m,-,Ignorado
2010,7.0,v,16019,Asiste
2010,7.0,v,39,Nunca asistió
2010,7.0,v,68,No asiste pero asistió
2010,7.0,v,-,Ignorado
2010,8.0,m,14734,Asiste
2010,8.0,m,27,Nunca asistió
2010,8.0,m,59,No asiste pero asistió
2010,8.0,m,-,Ignorado
2010,8.0,v,15199,Asiste
2010,8.0,v,35,Nunca asistió
2010,8.0,v,68,No asiste pero asistió
2010,8.0,v,-,Ignorado
2010,9.0,m,15102,Asiste
2010,9.0,m,37,Nunca asistió
2010,9.0,m,45,No asiste pero asistió
2010,9.0,m,-,Ignorado
2010,9.0,v,15444,Asiste
2010,9.0,v,23,Nunca asistió
2010,9.0,v,44,No asiste pero asistió
2010,9.0,v,-,Ignorado
2010,10.0,m,15306,Asiste
2010,10.0,m,25,Nunca asistió
2010,10.0,m,60,No asiste pero asistió
2010,10.0,m,-,Ignorado
2010,10.0,v,15842,Asiste
2010,10.0,v,36,Nunca asistió
2010,10.0,v,52,No asiste pero asistió
2010,10.0,v,-,Ignorado
2010,11.0,m,14327,Asiste
